"ID","x","y","label","truth"
"cell_1425",19226.197265625,6821.6181640625,6,"Internal Capsule Caudoputamen"
"cell_6196",1355.37329101562,36097.73046875,16,"Layer 5"
"cell_1334",18460.5859375,7924.18115234375,3,"Internal Capsule Caudoputamen"
"cell_6157",2342.5390625,38931.16015625,7,"Layer 4"
"cell_3313",10716.990234375,43654.1328125,5,"Pia Layer 1"
"cell_5692",3518.92919921875,45751.3984375,14,"Layer 2-3 medial"
"cell_5724",2783.41772460938,46250.80078125,14,"Layer 2-3 medial"
"cell_1281",19659.796875,7962.25341796875,6,"Internal Capsule Caudoputamen"
"cell_4725",8009.1435546875,40652.2265625,14,"Layer 2-3 medial"
"cell_1290",19538.685546875,10010.494140625,6,"Internal Capsule Caudoputamen"
"cell_4504",12824.2138671875,1349.51159667969,12,"White matter"
"cell_3881",10241.322265625,30568.66015625,13,"Layer 6"
"cell_205",20575.796875,36862.5703125,4,"Layer 2-3 lateral"
"cell_6302",3551.94897460938,33796.72265625,13,"Layer 6"
"cell_5048",5002.1083984375,38313.703125,5,"Layer 4"
"cell_5413",5950.14013671875,30493.279296875,6,"Layer 6"
"cell_5857",4503.353515625,40929.59375,14,"Layer 2-3 medial"
"cell_1253",20310.291015625,7655.41162109375,6,"Internal Capsule Caudoputamen"
"cell_1291",19448.462890625,8294.509765625,6,"Internal Capsule Caudoputamen"
"cell_768",18452.8359375,24291.796875,6,"Layer 6"
"cell_767",18386.68359375,24722.689453125,6,"Layer 6"
"cell_3307",11851.830078125,43454.390625,5,"Pia Layer 1"
"cell_7328",1335.52990722656,36207.4609375,16,"Layer 5"
"cell_164",18996.9765625,38691.6328125,10,"Layer 2-3 lateral"
"cell_2843",15492.7412109375,11871.7646484375,1,"White matter"
"cell_5386",6703.52978515625,27688.84765625,12,"White matter"
"cell_2670",13106.2373046875,20447.455078125,4,"White matter"
"cell_7350",713.274047851562,36019.11328125,16,"Layer 5"
"cell_5740",2430.19384765625,45660.765625,14,"Layer 2-3 medial"
"cell_1267",20022.935546875,9366.701171875,6,"Internal Capsule Caudoputamen"
"cell_1259",20275.91796875,9768.025390625,6,"Internal Capsule Caudoputamen"
"cell_1408",19882.552734375,6004.248046875,6,"Internal Capsule Caudoputamen"
"cell_6218",713.274047851562,36019.11328125,16,"Layer 5"
"cell_2174",15936.396484375,28541.919921875,10,"Layer 5"
"cell_6015",1359.50390625,40071.0703125,14,"Layer 4"
"cell_4435",12832.1357421875,13389.44921875,15,"White matter"
"cell_1301",19228.19140625,7636.37890625,6,"Internal Capsule Caudoputamen"
"cell_4672",9280.056640625,42805.49609375,8,"Layer 2-3 medial"
"cell_6058",5002.1083984375,38313.703125,5,"Layer 4"
"cell_5185",6893.0498046875,31963.34375,13,"Layer 6"
"cell_1465",18213.78515625,2078.75170898438,6,"White matter"
"cell_6254",4592.1513671875,34199.65234375,13,"Layer 6"
"cell_5219",6057.63720703125,32693.9765625,13,"Layer 6"
"cell_4990",6721.87158203125,36074.109375,8,"Layer 5"
"cell_3560",12942.833984375,38886.109375,8,"Layer 2-3 medial"
"cell_1336",18370.9375,7266.5166015625,6,"White matter"
"cell_1289",19542.517578125,9308.7412109375,6,"Internal Capsule Caudoputamen"
"cell_3759",13252.6376953125,31563.875,7,"Layer 5"
"cell_6174",1876.45666503906,36775.74609375,16,"Layer 5"
"cell_1280",19672.306640625,7355.95263671875,6,"Internal Capsule Caudoputamen"
"cell_6189",1496.26684570312,37761.93359375,16,"Layer 5"
"cell_1415",19555.53515625,5931.05810546875,6,"Internal Capsule Caudoputamen"
"cell_1269",20038.490234375,9072.8212890625,6,"Internal Capsule Caudoputamen"
"cell_7382",33.1260833740234,35980.3984375,16,"Layer 5"
"cell_1272",19919.322265625,8767.7236328125,6,"Internal Capsule Caudoputamen"
"cell_6372",2074.54907226562,34267.6953125,13,"Layer 6"
"cell_1264",20119.642578125,9696.9111328125,6,"Internal Capsule Caudoputamen"
"cell_2233",14342.00390625,27532.9296875,10,"Layer 6"
"cell_7383",0,35517.6328125,16,"Layer 6"
"cell_5877",4082.44775390625,41511.015625,14,"Layer 4"
"cell_1296",19342.501953125,10949.5283203125,6,"Internal Capsule Caudoputamen"
"cell_1275",19811.11328125,8519.775390625,6,"Internal Capsule Caudoputamen"
"cell_5806",1005.46893310547,44609.62109375,14,"Layer 2-3 medial"
"cell_6722",1005.46893310547,44609.62109375,14,"Layer 2-3 medial"
"cell_3699",9945.4580078125,38609.49609375,14,"Layer 4"
"cell_3877",10250.759765625,31080.65625,13,"Layer 6"
"cell_1282",19629.732421875,8809.7626953125,6,"Internal Capsule Caudoputamen"
"cell_2187",15605.380859375,29312.86328125,10,"Layer 5"
"cell_5231",5793.3662109375,31554.095703125,3,"Layer 6"
"cell_1429",18921.94140625,6466.84716796875,6,"Internal Capsule Caudoputamen"
"cell_1293",19402.302734375,10034.3642578125,6,"Internal Capsule Caudoputamen"
"cell_2148",16622.70703125,28840.7421875,10,"Layer 5"
"cell_809",17354.087890625,22968.2265625,13,"Layer 6"
"cell_1260",20199.111328125,8427.7890625,6,"Internal Capsule Caudoputamen"
"cell_1399",20204.853515625,6197.47998046875,6,"Internal Capsule Caudoputamen"
"cell_3583",12499.736328125,37853.359375,14,"Layer 2-3 medial"
"cell_2076",13681.23828125,30562.44921875,15,"Layer 6"
"cell_3803",12358.7265625,33802.6328125,7,"Layer 4"
"cell_1257",20201.595703125,9179.310546875,6,"Internal Capsule Caudoputamen"
"cell_5681",3823.79028320312,45174.42578125,14,"Layer 2-3 medial"
"cell_4031",11423.3173828125,28857.232421875,13,"Layer 6"
"cell_1268",20054.26171875,10376.1640625,6,"Internal Capsule Caudoputamen"
"cell_800",17566.224609375,25440.638671875,13,"Layer 6"
"cell_4055",10956.4375,30242.67578125,13,"Layer 6"
"cell_1308",19067.91796875,8276.796875,6,"Internal Capsule Caudoputamen"
"cell_2098",13252.6376953125,31563.875,7,"Layer 5"
"cell_1421",19291.75,5667.3017578125,6,"Internal Capsule Caudoputamen"
"cell_3908",9476.431640625,33206.0390625,4,"Layer 5"
"cell_3294",12824.2138671875,1349.51159667969,12,"White matter"
"cell_1320",18700.421875,8429.1220703125,3,"Internal Capsule Caudoputamen"
"cell_3915",9297.8720703125,31276.361328125,13,"Layer 6"
"cell_1295",19369.68359375,7812.34326171875,6,"Internal Capsule Caudoputamen"
"cell_3987",12436.0390625,28826.89453125,10,"Layer 6"
"cell_4625",6079.7919921875,45397.37890625,8,"Layer 2-3 medial"
"cell_7363",403.261016845703,37426.56640625,16,"Layer 5"
"cell_1410",19783.77734375,5078.5126953125,6,"White matter"
"cell_5155",7546.68994140625,32467.376953125,13,"Layer 6"
"cell_4735",7782.1650390625,38885.55078125,14,"Layer 4"
"cell_1451",18300.8203125,3083.75805664062,6,"White matter"
"cell_6071",4703.82421875,37976.81640625,14,"Layer 4"
"cell_5061",4707.203125,37976.44921875,14,"Layer 4"
"cell_7653",566.953857421875,34516.67578125,13,"Layer 6"
"cell_3874",10346.142578125,33854.67578125,8,"Layer 5"
"cell_2509",13418.4677734375,26219.4296875,13,"Layer 6"
"cell_6187",1490.38586425781,36297.07421875,16,"Layer 5"
"cell_5513",6559.0634765625,26013.025390625,16,"Hippocampus"
"cell_723",16953.384765625,27901.146484375,10,"Layer 5"
"cell_6097",3987.31396484375,38306.87109375,4,"Layer 4"
"cell_4613",6408.2802734375,42995.0625,8,"Layer 2-3 medial"
"cell_3706",9782.970703125,38868.67578125,14,"Layer 4"
"cell_5670",4076.853515625,44235.125,14,"Layer 2-3 medial"
"cell_5452",9069.0732421875,23565.63671875,16,"Hippocampus"
"cell_5281",4714.20458984375,32037.759765625,3,"Layer 6"
"cell_4218",11514.525390625,27171.25390625,13,"Layer 6"
"cell_56",20809.416015625,34629.09375,4,"Layer 2-3 lateral"
"cell_2169",16081.2392578125,26744.701171875,10,"Layer 6"
"cell_6531",999.702941894531,29178.138671875,16,"Hippocampus"
"cell_6181",1681.86889648438,37321.6875,16,"Layer 5"
"cell_655",18842.423828125,26948.404296875,10,"Layer 4"
"cell_868",18586.986328125,22602.205078125,6,"Layer 6"
"cell_4748",7461.83837890625,42949.10546875,8,"Layer 2-3 medial"
"cell_6720",1040.11340332031,44720.3046875,14,"Layer 2-3 medial"
"cell_4630",5883.76953125,44115.828125,8,"Layer 2-3 medial"
"cell_2061",14093.564453125,31575.9375,7,"Layer 4"
"cell_4323",11504.59375,19746.51953125,11,"Hippocampus"
"cell_6513",2076.05786132812,29081.853515625,16,"Hippocampus"
"cell_6288",3919.70385742188,33218.35546875,13,"Layer 6"
"cell_6096",3987.55908203125,38428.23046875,4,"Layer 4"
"cell_243",19380.23828125,37035.44921875,10,"Layer 2-3 lateral"
"cell_6353",2402.82055664062,32537.5859375,3,"Layer 6"
"cell_4449",13250.9912109375,11058.3837890625,15,"White matter"
"cell_697",17700.521484375,27421.7109375,10,"Layer 4"
"cell_89",21814.609375,31436.3671875,7,"Layer 4"
"cell_6153",2559.70288085938,34706.43359375,8,"Layer 6"
"cell_5113",8338.2958984375,33181.68359375,4,"Layer 5"
"cell_5696",3413.47509765625,44882.6640625,14,"Layer 2-3 medial"
"cell_2123",12707.1572265625,31244.791015625,7,"Layer 5"
"cell_4768",6999.640625,42640.54296875,8,"Layer 2-3 medial"
"cell_4252",10009.912109375,25219.833984375,12,"White matter"
"cell_3462",10275.357421875,42544.15234375,8,"Layer 2-3 medial"
"cell_2510",13394.4189453125,25294.978515625,6,"Layer 6"
"cell_3574",12686.5263671875,37851.65234375,14,"Layer 2-3 medial"
"cell_6456",4725.78125,28022.3359375,4,"Hippocampus"
"cell_4035",11262.3095703125,28885.94921875,13,"Layer 6"
"cell_5698",3341.61743164062,45266.3203125,14,"Layer 2-3 medial"
"cell_5488",7867.04248046875,25857.28515625,16,"Hippocampus"
"cell_4596",6769.72119140625,43848.5,8,"Layer 2-3 medial"
"cell_6193",1397.70922851562,34630.546875,13,"Layer 6"
"cell_6251",4709.11865234375,32040.837890625,3,"Layer 6"
"cell_6490",3376.95434570312,28725.083984375,4,"Hippocampus"
"cell_4752",7428.3251953125,39071.72265625,14,"Layer 4"
"cell_5804",1040.11340332031,44720.3046875,14,"Layer 2-3 medial"
"cell_5793",1326.02624511719,46286.7421875,14,"Layer 2-3 medial"
"cell_6496",3138.90795898438,28701.421875,4,"Hippocampus"
"cell_2253",13874.8173828125,29543.25,10,"Layer 6"
"cell_1906",12688.6474609375,37851.44921875,14,"Layer 2-3 medial"
"cell_5057",4714.7626953125,35892.19921875,4,"Layer 5"
"cell_2224",14593.220703125,27587.77734375,10,"Layer 6"
"cell_2208",15109.2802734375,29349.6328125,10,"Layer 5"
"cell_2282",13158.9697265625,28998.33203125,10,"Layer 6"
"cell_212",20369.15234375,34804.8984375,7,"Layer 2-3 lateral"
"cell_4782",6784.7861328125,43194.41796875,8,"Layer 2-3 medial"
"cell_1495",17712.556640625,2726.30249023438,6,"White matter"
"cell_5444",4725.78125,28022.3359375,4,"Hippocampus"
"cell_2443",14728.6884765625,24068.61328125,13,"Layer 6"
"cell_6529",1120.42944335938,29299.30859375,2,"Hippocampus"
"cell_634",19324.5390625,29058.44921875,7,"Layer 4"
"cell_4270",9262.8681640625,23873.439453125,16,"Hippocampus"
"cell_6422",1069.86010742188,33922.7890625,13,"Layer 6"
"cell_818",17110.015625,24259.6328125,13,"Layer 6"
"cell_6182",1674.03051757812,35120.27734375,13,"Layer 6"
"cell_5923",3115.28857421875,38974.90625,16,"Layer 4"
"cell_4032",11364.41796875,27965.728515625,13,"Layer 6"
"cell_5564",8840.7783203125,22137.55078125,4,"Hippocampus"
"cell_4407",13009.197265625,17241.53515625,16,"Hippocampus"
"cell_4893",8980.4365234375,36108.17578125,8,"Layer 4"
"cell_6508",2404.31274414062,30483.6171875,12,"White matter"
"cell_4274",9069.0732421875,23565.63671875,16,"Hippocampus"
"cell_6172",1902.65515136719,34609.0546875,13,"Layer 6"
"cell_3707",9730.185546875,38727.2109375,14,"Layer 4"
"cell_5794",1354.74194335938,45180.4140625,14,"Layer 2-3 medial"
"cell_4300",12597.8984375,22228.849609375,12,"White matter"
"cell_3422",11387.6328125,42008.16015625,8,"Layer 2-3 lateral"
"cell_2753",14040.6513671875,16092.47265625,2,"Hippocampus"
"cell_6369",2120.48974609375,31900.71875,3,"Layer 6"
"cell_2467",14244.6220703125,25960.48828125,13,"Layer 6"
"cell_3948",13158.9697265625,28998.33203125,10,"Layer 6"
"cell_4432",12871.1806640625,11013.2705078125,15,"White matter"
"cell_1006",19211.474609375,16561.748046875,12,"White matter"
"cell_736",20224.8828125,26274.32421875,2,"Layer 4"
"cell_301",17732.72265625,35995.296875,14,"Layer 2-3 lateral"
"cell_5947",2593.30493164062,39755.3125,7,"Layer 4"
"cell_842",20534.265625,19285.033203125,6,"Layer 6"
"cell_4166",13305.62109375,25389.65625,6,"Layer 6"
"cell_5448",9262.8681640625,23873.439453125,16,"Hippocampus"
"cell_5233",5814.466796875,34178.484375,4,"Layer 6"
"cell_6517",1848.63940429688,28792.591796875,16,"Hippocampus"
"cell_6067",4788.35546875,35828.40625,4,"Layer 5"
"cell_3745",8980.4365234375,36108.17578125,8,"Layer 4"
"cell_3713",9642.068359375,35246.2890625,8,"Layer 5"
"cell_6315",3277.61059570312,34331.70703125,8,"Layer 6"
"cell_2739",15292.099609375,16553.4765625,12,"White matter"
"cell_5403",6326.037109375,29713.388671875,12,"White matter"
"cell_4343",10933.2734375,22297.361328125,4,"Hippocampus"
"cell_5112",8341.2333984375,33050.06640625,13,"Layer 5"
"cell_7632",1069.86010742188,33922.7890625,13,"Layer 6"
"cell_2859",13865.05078125,11927.099609375,15,"White matter"
"cell_3110",16575.5703125,3477.2998046875,6,"Ventricle"
"cell_5136",7935.7685546875,31443.376953125,13,"Layer 6"
"cell_3834",11461.88671875,30994.453125,13,"Layer 6"
"cell_5703",3253.91577148438,43303.734375,14,"Layer 2-3 medial"
"cell_7648",674.464233398438,32493.916015625,6,"White matter"
"cell_2472",14130.984375,25994.341796875,13,"Layer 6"
"cell_1009",19112.052734375,16694.029296875,12,"White matter"
"cell_2264",13660.4111328125,31179.96484375,7,"Layer 5"
"cell_7837",148.637390136719,27985.62109375,5,"Hippocampus"
"cell_4253",9918.9931640625,25432.501953125,12,"White matter"
"cell_2215",14918.927734375,29172.677734375,10,"Layer 5"
"cell_4491",13000.58203125,677.678771972656,12,"White matter"
"cell_706",17557.4296875,28216.64453125,10,"Layer 5"
"cell_621",19766.828125,28982.13671875,7,"Layer 4"
"cell_4750",7448.40625,39171.16796875,14,"Layer 4"
"cell_2444",14691.6025390625,25148.818359375,13,"Layer 6"
"cell_4945",7785.52587890625,35843.94921875,8,"Layer 5"
"cell_2137",16953.384765625,27901.146484375,10,"Layer 5"
"cell_4392",8840.7783203125,22137.55078125,4,"Hippocampus"
"cell_487",18403.572265625,32749.14453125,7,"Layer 4"
"cell_690",17831.16015625,27578.845703125,10,"Layer 4"
"cell_4843",5467.09912109375,42176.3125,14,"Layer 2-3 medial"
"cell_1745",15757.033203125,36074.609375,14,"Layer 3-4"
"cell_1046",18079.12890625,17272.076171875,12,"White matter"
"cell_5790",1404.92321777344,46265.234375,14,"Layer 2-3 medial"
"cell_4243",10343.943359375,24818.51953125,12,"White matter"
"cell_2784",13009.197265625,17241.53515625,16,"Hippocampus"
"cell_4020",11595.572265625,27381.8125,13,"Layer 6"
"cell_3478",9940.236328125,41618.15234375,14,"Layer 2-3 medial"
"cell_5508",6717.43212890625,26922.849609375,12,"Hippocampus"
"cell_1863",13546.6474609375,37090.875,14,"Layer 3-4"
"cell_2489",13864.638671875,26333.060546875,13,"Layer 6"
"cell_3281",13000.58203125,677.678771972656,12,"White matter"
"cell_860",19076.111328125,19322.06640625,6,"Layer 6"
"cell_852",19740.78515625,19190.5859375,6,"Layer 6"
"cell_3576",12643.83203125,36160.3984375,14,"Layer 4"
"cell_3702",9917.384765625,34735.40234375,8,"Layer 5"
"cell_3735",9182.0830078125,36792.921875,14,"Layer 4"
"cell_4599",6733.84716796875,45451.40625,8,"Layer 2-3 medial"
"cell_5845",4768.166015625,42216.65625,14,"Layer 2-3 medial"
"cell_5738",2482.373046875,42636.24609375,14,"Layer 2-3 medial"
"cell_2242",14098.802734375,27973.3515625,13,"Layer 6"
"cell_1588",15814.6005859375,41593.1875,5,"Pia Layer 1"
"cell_4883",9182.0830078125,36792.921875,14,"Layer 4"
"cell_6289",3890.58764648438,33395.57421875,13,"Layer 6"
"cell_4870",4768.166015625,42216.65625,14,"Layer 2-3 medial"
"cell_2852",14770.1240234375,14554.603515625,15,"White matter"
"cell_5688",3594.90747070312,45932.73828125,14,"Layer 2-3 medial"
"cell_7341",944.82177734375,35969.69140625,16,"Layer 5"
"cell_2787",12956.966796875,16739.578125,16,"Hippocampus"
"cell_4866",4879.39208984375,42357.328125,14,"Layer 2-3 medial"
"cell_4006",12027.71484375,29094.1796875,10,"Layer 6"
"cell_6161",2289.34814453125,35153.15234375,8,"Layer 6"
"cell_1091",16738.2421875,15098.056640625,12,"White matter"
"cell_856",19564.166015625,19118.078125,6,"Layer 6"
"cell_2462",14287.83984375,24951.408203125,6,"Layer 6"
"cell_2520",13147.7109375,27031.53515625,13,"Layer 6"
"cell_1908",12653.3720703125,36154.93359375,14,"Layer 4"
"cell_850",19976.96484375,19460.951171875,6,"Layer 6"
"cell_16",22447.220703125,34810.54296875,4,"Layer 2-3 lateral"
"cell_3597",12164.0185546875,37025.6171875,14,"Layer 3-4"
"cell_4667",4645.3271484375,43437.8046875,8,"Layer 2-3 medial"
"cell_5310",8631.658203125,30252.0703125,13,"Layer 6"
"cell_2258",13672.6826171875,27715.3203125,13,"Layer 6"
"cell_5841",4879.39208984375,42357.328125,14,"Layer 2-3 medial"
"cell_4410",12956.966796875,16739.578125,16,"Hippocampus"
"cell_1835",14013.533203125,36418.85546875,14,"Layer 3-4"
"cell_2857",14267.28515625,11515.603515625,15,"White matter"
"cell_4115",9798.1845703125,28811.609375,13,"Layer 6"
"cell_1241",20587.146484375,10250.296875,6,"Internal Capsule Caudoputamen"
"cell_5735",2519.60693359375,42806.0078125,14,"Layer 2-3 medial"
"cell_1619",14608.54296875,41529.3671875,8,"Layer 2-3 lateral"
"cell_4602",6620.69580078125,44859.23046875,8,"Layer 2-3 medial"
"cell_4065",10836.046875,28158.048828125,13,"Layer 6"
"cell_2122",12659.3388671875,31394.9609375,7,"Layer 5"
"cell_6209",944.82177734375,35969.69140625,16,"Layer 5"
"cell_3737",9110.90625,35106.21875,8,"Layer 5"
"cell_4574",7424.27392578125,45067.109375,8,"Layer 2-3 medial"
"cell_1715",16408.662109375,37988.7890625,8,"Layer 2-3 lateral"
"cell_3334",9296.0888671875,44520.6875,2,"Layer 2-3 medial"
"cell_4979",6967.9384765625,37080.16796875,8,"Layer 4"
"cell_1455",18261.396484375,6063.09130859375,6,"White matter"
"cell_6042",779.284912109375,39530.28515625,14,"Layer 4"
"cell_4733",7789.64111328125,38998.61328125,14,"Layer 4"
"cell_5071",9112.4296875,32896.078125,4,"Layer 5"
"cell_3742",9016.357421875,35422.19921875,8,"Layer 5"
"cell_6091",4177.556640625,36961.796875,4,"Layer 5"
"cell_5127",8106.3046875,33753.42578125,4,"Layer 5"
"cell_1473",18101.9375,5295.24365234375,6,"White matter"
"cell_5540",5213.63330078125,24880.783203125,5,"Hippocampus"
"cell_3073",17308.20703125,4144.2978515625,6,"White matter"
"cell_1309",19053.9921875,7836.845703125,6,"Internal Capsule Caudoputamen"
"cell_1337",18377.41015625,8201.2109375,3,"Internal Capsule Caudoputamen"
"cell_123",21207.125,34001.0625,4,"Layer 2-3 lateral"
"cell_6605",104.536254882812,48290.234375,15,"Pia Layer 1"
"cell_3922",9112.4296875,32896.078125,4,"Layer 5"
"cell_1494",17733.96484375,4380.25,6,"White matter"
"cell_1347",18178.291015625,7214.84130859375,3,"White matter"
"cell_1352",18120.703125,8270.8798828125,3,"Internal Capsule Caudoputamen"
"cell_1338",18360.287109375,10473.912109375,6,"Internal Capsule Caudoputamen"
"cell_4527",8987.4423828125,43606.15234375,8,"Layer 2-3 medial"
"cell_3470",10006.4892578125,40853.015625,14,"Layer 2-3 medial"
"cell_4882",9229.2177734375,37114.96484375,14,"Layer 4"
"cell_29",21954.1875,35912.52734375,4,"Layer 2-3 lateral"
"cell_1328",18542.888671875,8600.8046875,3,"Internal Capsule Caudoputamen"
"cell_7060",779.284912109375,39530.28515625,14,"Layer 4"
"cell_1653",13550.9404296875,39067.1640625,8,"Layer 2-3 medial"
"cell_5137",7910.94287109375,32099.845703125,13,"Layer 6"
"cell_1353",18091.13671875,8127.974609375,3,"Internal Capsule Caudoputamen"
"cell_1111",20177.962890625,10562.4072265625,6,"Internal Capsule Caudoputamen"
"cell_5031",5419.4404296875,35278.16796875,4,"Layer 5"
"cell_6381",1924.30078125,33625.125,13,"Layer 6"
"cell_185",16739.251953125,39410.03125,10,"Layer 2-3 lateral"
"cell_1595",15402.2880859375,40953.06640625,16,"Layer 2-3 lateral"
"cell_6537",5218.60107421875,24883.25,5,"Hippocampus"
"cell_3207",14903.0419921875,1559.18664550781,12,"Ventricle"
"cell_1355",18035.8984375,7500.572265625,3,"Internal Capsule Caudoputamen"
"cell_2109",12952.9189453125,33103.40234375,7,"Layer 4"
"cell_1447",18432.025390625,2987.23120117188,6,"White matter"
"cell_3410",11554.0087890625,43065.57421875,5,"Pia Layer 1"
"cell_3896",9819.0029296875,34173.19140625,8,"Layer 5"
"cell_2146",16671.783203125,26593.7109375,10,"Layer 6"
"cell_3734",9229.2177734375,37114.96484375,14,"Layer 4"
"cell_286",17959.736328125,37292.421875,10,"Layer 2-3 lateral"
"cell_3343",8987.4423828125,43606.15234375,8,"Layer 2-3 medial"
"cell_3932",8890.505859375,33163.0078125,4,"Layer 5"
"cell_1343",18289.966796875,10132.0419921875,6,"Internal Capsule Caudoputamen"
"cell_1472",18103.4140625,5015.1240234375,6,"White matter"
"cell_1540",16736.17578125,3934.89111328125,5,"Ventricle"
"cell_1484",17870.181640625,6755.97216796875,6,"White matter"
"cell_1342",18320.2265625,8773.220703125,6,"Internal Capsule Caudoputamen"
"cell_1164",18702.3125,10593.0458984375,6,"Internal Capsule Caudoputamen"
"cell_3661",10727.732421875,35004.38671875,8,"Layer 5"
"cell_3382",12498.2763671875,40500.52734375,8,"Layer 2-3 medial"
"cell_1616",14671.962890625,41708.08203125,8,"Pia Layer 1"
"cell_5701",3300.39233398438,47234.71484375,5,"Pia Layer 1"
"cell_1335",18418.7890625,9799.267578125,6,"Internal Capsule Caudoputamen"
"cell_1457",18271.01953125,6422.23046875,6,"White matter"
"cell_1476",18077.62890625,2540.59228515625,6,"White matter"
"cell_4736",7774.06201171875,40543.1640625,14,"Layer 2-3 medial"
"cell_4518",9296.0888671875,44520.6875,2,"Layer 2-3 medial"
"cell_4874",4660.810546875,40080.97265625,7,"Layer 4"
"cell_1450",18331.17578125,2308.79223632812,6,"White matter"
"cell_3770",12952.9189453125,33103.40234375,7,"Layer 4"
"cell_4622",6216.5830078125,43699.54296875,8,"Layer 2-3 medial"
"cell_3102",16736.17578125,3934.89111328125,5,"Ventricle"
"cell_6170",1925.93823242188,36950.84375,16,"Layer 5"
