"x","y","z"
6164,13561,"fat"
18537,19497,"fibrous"
6167,16752,NA
16510,10796,"immune"
15244,7170,"fibrous"
8941,14284,"tumor"
11711,6883,NA
17522,13406,NA
14246,19936,NA
14241,14134,"fibrous"
13985,10508,"necrosis"
15001,16889,NA
5914,16027,"immune"
13742,20227,"tumor"
16512,13987,"fibrous"
17016,12246,NA
7930,12254,NA
17777,16451,NA
11211,12976,"tumor"
13995,20661,NA
15757,16163,"fibrous"
15760,18774,NA
13231,13264,NA
14739,6881,"fibrous"
14238,11233,"tumor"
11216,17618,"tumor"
9946,8771,"fibrous"
18789,19642,NA
19032,9343,"fibrous"
18027,14566,"tumor"
13236,19647,"tumor"
14239,12103,"necrosis"
18278,12970,"necrosis"
15758,17324,NA
6922,14576,"tumor"
5911,12836,NA
10708,14717,NA
12731,18487,NA
14752,20516,"tumor"
15255,19355,"necrosis"
16256,9490,"fibrous"
11713,9494,NA
13995,21532,"tumor"
20803,13548,NA
12228,21388,NA
15245,7751,NA
11712,8624,NA
19790,10067,"fibrous"
5915,16897,NA
16254,7750,NA
10713,20229,NA
9196,16749,"tumor"
9951,14283,NA
12732,19937,"tumor"
12977,11379,"tumor"
6166,15302,"immune"
9957,20955,"fat"
17780,19933,NA
11969,13991,"tumor"
7933,15735,NA
14495,15439,"tumor"
16007,13697,"fibrous"
13985,9637,"tumor"
12222,14136,NA
10713,19649,NA
13477,7027,NA
7422,9063,NA
19038,16015,"tumor"
18029,16596,NA
16765,13841,"fibrous"
17017,13116,NA
16010,16308,"fibrous"
15498,8766,"fibrous"
6165,14721,"immune"
11970,14861,NA
13993,19211,NA
7931,14285,"tumor"
13990,15149,"tumor"
13481,10798,NA
5659,12981,"fat"
11976,21534,NA
18782,11519,"necrosis"
7175,15011,"tumor"
9948,11092,"fibrous"
18783,13259,"necrosis"
16266,20224,NA
7176,15881,"tumor"
18529,11084,"necrosis"
18787,17611,"fibrous"
9951,15153,NA
5910,11385,NA
19537,9342,"fibrous"
15497,7605,NA
11723,20228,"tumor"
18028,15146,NA
15756,15293,"tumor"
16003,8475,NA
12729,16456,NA
14243,16455,"tumor"
12728,15296,NA
18031,18627,"fibrous"
15506,17179,"necrosis"
7680,15300,"tumor"
11214,16457,NA
10452,10801,"fibrous"
6161,10370,NA
11969,13120,NA
11213,14427,"tumor"
6918,9644,"tumor"
7170,9789,NA
12730,18197,NA
13230,12684,NA
15254,18194,"necrosis"
19040,17466,"fibrous"
10457,16023,NA
14242,15584,NA
10958,12251,"tumor"
14739,6591,"fibrous"
16771,20804,NA
11723,20518,NA
10708,14137,"immune"
13477,6737,"immune"
10457,15733,NA
13235,17906,NA
16759,7169,"fibrous"
14239,11523,NA
19796,16450,"tumor"
15751,9201,"fibrous"
12972,6737,"immune"
11722,19358,NA
7926,8482,NA
9189,9207,NA
16008,14567,"tumor"
10202,13267,NA
13983,7607,"fibrous"
16012,19209,NA
17014,9925,"immune"
10705,11816,NA
19539,11663,"necrosis"
10206,17909,"fat"
18276,10069,"immune"
13731,7752,"fibrous"
10954,7899,"immune"
7679,14430,"tumor"
9694,9206,"fibrous"
16518,19789,NA
15761,20515,NA
11715,11525,"tumor"
7423,10224,"immune"
15253,17034,"necrosis"
19795,15579,"tumor"
8945,19215,"fibrous"
10962,16022,NA
8940,13123,NA
12228,20518,"tumor"
18274,8618,"immune"
12726,12975,NA
17011,7024,"fibrous"
18785,15580,"tumor"
13993,18631,NA
17769,8038,"immune"
10456,14572,NA
12216,8043,"immune"
17020,16887,NA
11461,10220,NA
19795,14999,NA
16517,18919,NA
17012,7894,"fibrous"
9192,12688,NA
19793,13549,"necrosis"
19545,18045,NA
9448,16894,NA
14236,8912,NA
20802,12967,NA
19035,12244,NA
7427,14575,"tumor"
7937,20087,"fibrous"
16255,8330,NA
16254,7169,NA
16509,10505,NA
7931,13704,NA
9949,13122,NA
9702,18490,NA
19289,14129,"necrosis"
16254,6879,"fibrous"
6918,10514,NA
20299,14709,"tumor"
14999,15439,"tumor"
19033,9923,"fibrous"
19797,17610,"fibrous"
8946,19506,"fibrous"
7680,15880,"tumor"
13233,16165,NA
8187,17911,NA
13986,11668,NA
8691,17330,"tumor"
17265,9199,"immune"
13984,8477,NA
19037,14565,"necrosis"
14496,17470,NA
7676,10658,NA
14491,11668,"tumor"
8188,19361,"fibrous"
16770,19353,NA
17018,14566,NA
15255,19065,"necrosis"
15749,7460,"fibrous"
10206,17619,NA
18530,12244,"necrosis"
16013,19499,NA
10704,10656,NA
7426,13125,NA
14993,8766,"fibrous"
19292,17901,NA
10199,9496,"fibrous"
16258,11231,"fibrous"
6925,18057,"tumor"
12733,21098,NA
10967,21535,"fat"
5661,15882,NA
14740,8041,NA
7929,11674,"tumor"
12475,14571,NA
20800,10937,"fibrous"
20042,9922,NA
12226,18487,"tumor"
10953,6739,NA
21053,11662,NA
11216,17908,NA
11970,14281,NA
6919,11094,"tumor"
6671,16171,"tumor"
19538,10213,"fibrous"
12470,9639,"tumor"
12480,20953,NA
10208,20230,NA
19793,13258,"necrosis"
12973,7608,NA
9195,15879,NA
13989,14859,"tumor"
7679,13850,NA
10966,20954,NA
12468,6738,NA
9953,16604,NA
17778,17902,NA
7684,19362,"fibrous"
9947,9931,"fibrous"
18275,8908,"immune"
18278,12680,NA
13987,11958,"tumor"
15759,18194,"necrosis"
17527,19498,NA
7674,9208,NA
14246,19646,"necrosis"
7935,18636,"tumor"
13235,18196,NA
9947,10801,"fibrous"
15498,8476,"fibrous"
13743,21387,"tumor"
20049,16885,"fibrous"
18031,18337,NA
16508,9345,"immune"
10966,21244,"fat"
17266,9489,"immune"
9699,14718,NA
20553,16304,"fibrous"
14751,19936,NA
14745,12683,"necrosis"
12478,17762,NA
10965,20084,NA
18535,18046,"fibrous"
14997,12247,"necrosis"
11973,17762,"tumor"
16769,19063,"fibrous"
15248,11232,NA
19040,18336,NA
13992,18050,"tumor"
9702,18780,"fat"
19292,17611,NA
13730,6882,"fibrous"
15496,6445,"fibrous"
12467,6157,"immune"
7936,18926,"fibrous"
8936,8481,"fibrous"
13734,11523,NA
7681,16751,NA
16508,8765,"fibrous"
7430,18056,"tumor"
11211,12396,"tumor"
14494,14569,"tumor"
20046,14274,"tumor"
6669,14141,"immune"
18281,15871,"tumor"
15761,19935,NA
15499,9636,"fibrous"
15503,13988,NA
12220,12395,NA
13227,9203,NA
12477,16891,NA
9952,16023,NA
16262,15583,"fibrous"
10461,20084,NA
15249,12682,"tumor"
15503,14278,"tumor"
8179,9498,NA
19039,16305,NA
19794,14419,NA
17776,15581,"tumor"
12470,9349,NA
5911,13126,NA
13738,16455,NA
17769,8328,"immune"
9196,17039,"tumor"
11963,6738,"tumor"
17524,16307,NA
15507,18629,"necrosis"
8941,13994,"tumor"
18282,17321,"tumor"
11206,6594,NA
10712,18489,NA
11967,11670,"tumor"
10201,12107,"fibrous"
10459,18634,NA
14490,9927,"tumor"
9955,19215,NA
8942,15444,"immune"
10708,14427,NA
13988,13409,NA
13237,19937,NA
18280,15000,"tumor"
17271,15872,NA
13238,21097,NA
18283,18482,NA
8439,17765,"tumor"
12474,13990,NA
12479,19212,"tumor"
14743,10942,"tumor"
6416,13706,NA
8180,9788,"tumor"
11464,13121,"tumor"
15509,20660,NA
16004,9926,"fibrous"
11970,14571,NA
15247,10362,"tumor"
8941,14864,"immune"
14743,11232,"tumor"
18030,17757,NA
16002,7315,"fibrous"
9449,17764,NA
9947,10511,"fibrous"
14489,9057,NA
12719,6012,NA
19290,15580,NA
16259,12681,NA
13734,11813,"tumor"
14744,12103,"necrosis"
13227,8913,NA
14996,11957,NA
14494,14279,"fibrous"
9445,13993,NA
9950,13412,NA
15004,20370,NA
8693,19071,"fibrous"
12215,6303,"immune"
18284,19352,"fibrous"
17523,14856,NA
20551,14563,"fibrous"
7680,15590,"immune"
19539,11083,NA
10965,19794,NA
20550,13403,"tumor"
10205,16168,NA
7426,13415,NA
10200,11526,NA
11218,20809,NA
9191,11818,NA
7678,13560,NA
16761,9490,"immune"
19539,11373,"necrosis"
15759,17904,"necrosis"
9947,10221,"fibrous"
7678,12979,"immune"
14744,12393,"necrosis"
10453,11671,"fibrous"
9951,14573,NA
14497,18340,"necrosis"
11466,16022,NA
8439,17185,NA
12476,15441,NA
15761,20225,NA
8937,9352,NA
18786,16160,NA
12727,14715,NA
8438,16605,NA
10455,13992,NA
11963,6448,NA
19033,9633,"fibrous"
15002,18340,"necrosis"
15001,17469,"necrosis"
11724,21389,NA
20299,14418,"tumor"
20805,15578,"fibrous"
9445,13413,NA
15504,15438,"tumor"
7422,9353,NA
12216,7173,"tumor"
20044,11953,"necrosis"
14493,13698,NA
9194,14719,NA
9448,16604,NA
7175,14720,"tumor"
6420,17767,"tumor"
16266,20804,NA
13732,9493,"tumor"
8181,11528,NA
9198,19650,"fat"
9956,20375,"fat"
8434,12253,NA
12980,15440,NA
8186,16460,NA
21055,13402,"fibrous"
5407,13997,NA
8940,12833,NA
18284,19642,NA
17775,15001,NA
8693,19361,"fibrous"
10450,8770,"fibrous"
15250,13843,NA
19040,18046,"fibrous"
10198,8625,"fibrous"
9443,10802,"tumor"
12722,8913,NA
14247,21096,"tumor"
11463,12251,NA
5661,15592,NA
11974,19503,NA
19797,17320,"fibrous"
12472,11379,NA
17275,19933,NA
12480,20083,"tumor"
7429,17476,NA
11209,10655,NA
11471,21244,NA
7176,16461,NA
17519,10214,"immune"
17013,9635,"immune"
13739,17325,NA
8437,15445,"tumor"
15501,11957,NA
11209,10945,NA
6672,17332,NA
6419,16027,"immune"
15005,21241,"tumor"
17770,9489,"immune"
14741,8621,NA
6922,14866,"tumor"
8687,12398,NA
8181,10658,NA
7429,16606,NA
8182,11818,NA
18531,13115,"necrosis"
5909,11095,NA
15252,15874,"tumor"
15002,18050,"necrosis"
11714,10655,"tumor"
8184,14719,"tumor"
17271,15582,NA
13737,15005,"tumor"
12228,21098,NA
21055,12822,"fibrous"
13740,18776,NA
10204,15878,NA
13729,6591,"immune"
17267,10940,"immune"
6673,17912,"tumor"
17272,17032,NA
10711,17618,"tumor"
12986,21823,"tumor"
10960,14572,NA
12979,14280,NA
14240,12393,"necrosis"
17528,20078,NA
9946,9061,"fibrous"
11464,13701,NA
8688,13849,NA
18032,19207,"fibrous"
19289,13839,"necrosis"
15504,15728,NA
13232,14425,NA
8187,18201,"tumor"
14752,20806,"tumor"
13729,6301,NA
18779,8328,NA
6417,13996,"immune"
7929,11383,NA
8692,17620,"tumor"
17014,10795,"immune"
17777,16742,NA
16254,7460,NA
6167,17332,NA
10455,13702,"immune"
5913,14867,NA
16771,20224,NA
17014,10505,"immune"
15499,9346,"fibrous"
7926,8773,NA
8690,15589,"immune"
8185,15300,"tumor"
9701,17329,NA
14499,20081,NA
11965,9349,NA
9699,15588,NA
11462,11380,NA
14246,19356,"necrosis"
11458,6739,NA
16005,10506,"fibrous"
12982,16891,NA
17526,18337,NA
12473,12540,NA
13483,13409,NA
6418,15446,"tumor"
17771,10359,"immune"
7430,17766,NA
15757,15873,"fibrous"
12468,7028,"tumor"
18537,19787,NA
20045,12533,"necrosis"
8434,11383,NA
12220,12105,NA
8937,9642,"tumor"
17016,12536,NA
11470,19503,NA
16259,12391,"fibrous"
16512,13406,"fibrous"
10204,15298,NA
17268,12100,NA
5913,15157,"immune"
10201,11817,"fibrous"
9199,20811,NA
17516,7603,"fibrous"
10710,16458,NA
16265,19644,"tumor"
19291,15870,"tumor"
6420,17477,"tumor"
9448,16314,"tumor"
7431,18927,"fibrous"
17015,11375,"immune"
11969,13701,NA
10711,18199,NA
7171,11239,"tumor"
15750,8330,NA
11713,9204,NA
6925,17477,NA
14746,13843,NA
20049,17465,"fibrous"
13481,11378,"tumor"
17770,9199,"immune"
16009,15728,"fibrous"
8441,19796,"fibrous"
8936,8772,NA
8694,19941,"fibrous"
15750,7750,NA
9954,18344,"fat"
9955,19505,NA
14242,14714,"tumor"
9953,17184,"tumor"
7423,10514,NA
16769,18483,NA
10959,12541,"tumor"
10198,8916,"fibrous"
12731,18777,NA
18281,15581,"tumor"
14235,7171,"fibrous"
6918,10224,NA
19036,13114,"necrosis"
12975,9638,"tumor"
20042,9632,"tumor"
13484,14280,NA
12725,12104,NA
12986,21533,"tumor"
20802,12677,"fibrous"
10198,8335,"fibrous"
17267,11230,NA
7428,16316,NA
8434,11673,NA
14994,9636,NA
8189,19941,"fibrous"
14493,13118,NA
15750,8620,"fibrous"
5914,16607,"immune"
6418,15156,"tumor"
16769,18773,"fibrous"
17274,18483,NA
14241,13554,"tumor"
8189,19651,"fibrous"
12984,19502,NA
6414,11385,NA
13742,20517,NA
18534,16596,"tumor"
8942,15154,"immune"
15004,20080,NA
14488,8186,NA
10208,19359,"tumor"
7427,14285,"tumor"
6669,13851,"immune"
17527,19788,NA
7931,13414,NA
17777,17032,NA
8944,17475,"tumor"
15000,15729,"tumor"
10203,14718,NA
17273,18193,NA
16011,17468,NA
8436,14574,"tumor"
10201,12687,NA
12720,6882,NA
9953,17474,"tumor"
7674,8918,NA
16258,12101,"fibrous"
9191,12108,NA
20548,11082,NA
11461,10510,NA
16764,12681,"fibrous"
8688,14139,NA
11971,15441,NA
7172,12109,NA
12219,11235,"tumor"
7177,17331,NA
12977,12249,"tumor"
8440,18636,"tumor"
8686,11818,NA
10963,17473,"tumor"
13482,12249,NA
15759,18484,"necrosis"
16762,10940,"immune"
12981,16021,NA
15498,9056,"fibrous"
12480,20663,"tumor"
13479,8187,"fibrous"
16762,10360,"immune"
10710,17328,NA
12980,14570,NA
19542,14564,"necrosis"
12974,8188,NA
10954,7609,"immune"
10454,12832,NA
10459,18344,"tumor"
14234,6301,"fibrous"
9701,17619,NA
7176,16171,NA
11218,19939,NA
8184,14139,NA
17023,20079,NA
7171,10659,NA
16260,14132,NA
13236,19357,NA
17779,19353,NA
12473,12830,NA
8938,11383,NA
11712,8334,NA
11715,11235,NA
11967,10800,"tumor"
17523,15436,NA
12225,17907,"tumor"
14490,10217,NA
5660,14722,NA
18781,10939,"necrosis"
13480,9928,NA
8946,20376,"fibrous"
16758,6879,NA
14244,17035,NA
14992,6735,"fibrous"
8690,15879,"immune"
15761,20805,NA
16008,14857,"tumor"
6419,16607,"tumor"
8433,11093,NA
8431,8482,"fibrous"
17012,7604,"fibrous"
13732,9202,NA
9444,12543,NA
16771,20514,NA
18779,8618,NA
7676,11529,"tumor"
16266,20514,NA
11462,10800,"tumor"
13225,6882,"immune"
13983,7897,"fibrous"
12217,8624,NA
16259,13262,NA
7927,9063,"immune"
16009,15438,NA
9188,8336,NA
11964,8189,NA
17265,8909,"immune"
15257,21386,NA
12984,19792,NA
13226,8042,"fibrous"
12729,16166,NA
10703,8915,NA
17775,14711,NA
6921,13125,NA
7431,19217,"fibrous"
13477,6447,"immune"
16510,11666,"fibrous"
11712,8914,"fibrous"
11207,8334,"fibrous"
14998,14278,NA
15500,10216,NA
9694,9786,"fibrous"
18279,13260,NA
12481,21243,NA
7173,13270,"immune"
15496,6735,"fibrous"
11719,16167,"immune"
12730,17616,NA
13228,9783,NA
13238,21678,"tumor"
11972,16312,"immune"
6666,10079,NA
18789,19062,NA
17013,9054,"immune"
6667,12110,NA
9704,20520,"fat"
15752,10361,"fibrous"
8692,17910,"tumor"
13731,8332,"fibrous"
7177,17041,NA
14242,15004,"tumor"
16011,18049,"necrosis"
8945,18635,NA
16509,9925,"immune"
7675,9788,"immune"
10453,12252,NA
12730,17907,NA
16506,6734,"fibrous"
6671,15591,"tumor"
19288,12679,NA
12986,21243,"tumor"
19284,8617,"fibrous"
10961,15152,NA
20804,14998,"fibrous"
19293,18481,NA
7928,10223,"tumor"
10713,19939,NA
10460,19214,NA
5912,14286,NA
11966,9929,"tumor"
13224,6302,NA
19293,19061,NA
7428,15445,NA
8185,15880,NA
8945,18925,"fibrous"
13992,17470,NA
11710,6593,NA
9447,15734,NA
16760,8910,"immune"
12219,10364,"necrosis"
7428,16026,NA
17017,13986,NA
12982,17471,NA
9447,15444,NA
14998,13988,NA
12467,6448,"immune"
11711,7174,"immune"
10201,12397,"fibrous"
13491,21532,"tumor"
10957,11381,NA
12976,11089,NA
13731,8622,NA
10961,14862,NA
12734,21678,NA
12727,14135,NA
18284,18772,"fibrous"
21056,13983,"fibrous"
8437,15735,"immune"
18278,12390,NA
9955,18924,"fat"
6419,16317,NA
13985,9927,NA
16265,19064,NA
16006,12247,"fibrous"
7175,15301,"tumor"
15497,7315,"fibrous"
8442,20376,"fibrous"
11966,10219,"tumor"
19541,13404,"necrosis"
14498,18920,"necrosis"
15255,18775,"necrosis"
12724,11234,"tumor"
5660,14432,NA
15749,6880,"fibrous"
16253,6589,"fibrous"
9449,18055,"tumor"
11976,20953,NA
14493,13989,"fibrous"
10961,15732,NA
19797,17900,NA
17780,20223,NA
9441,8771,NA
6667,11820,NA
7932,14865,"tumor"
10961,15442,NA
13234,16456,NA
19793,13839,NA
14995,10217,"tumor"
17518,9344,"immune"
6161,10660,NA
10458,17473,NA
12983,18632,NA
13734,12104,"tumor"
13230,12394,NA
20296,10937,"tumor"
15246,8621,"fibrous"
9198,19070,NA
17775,14131,NA
18028,15726,"tumor"
10452,10511,"fibrous"
9442,9932,NA
10705,11526,NA
10198,9206,"fibrous"
13487,17761,NA
13489,19501,"tumor"
5659,13561,"fat"
16770,19934,"tumor"
13737,14714,"tumor"
10455,13412,"immune"
13478,7607,"fibrous"
16001,6444,"fibrous"
9700,16749,"tumor"
20050,18045,"fibrous"
8186,16750,NA
13487,17181,NA
14495,15729,"tumor"
13984,9057,NA
18534,16886,"tumor"
16760,8039,"fibrous"
17770,8619,"immune"
16259,12972,NA
8943,16024,NA
14498,19210,"necrosis"
10710,16748,NA
10454,12542,NA
13230,12104,"tumor"
13489,19792,"tumor"
7171,10369,"immune"
8432,9642,"tumor"
13231,13845,NA
8939,11673,NA
11966,10510,"tumor"
15760,19354,NA
9948,11962,NA
18529,11374,"necrosis"
20297,12678,"necrosis"
14237,9492,"tumor"
8181,11238,NA
7172,12400,NA
11468,17473,"tumor"
15501,11667,NA
17270,13841,NA
13485,14860,NA
6168,17622,NA
11209,10075,NA
18787,16741,"fibrous"
16766,14712,NA
11721,18778,NA
12474,13700,"tumor"
20549,12242,NA
10714,21390,"fat"
14499,20371,NA
18536,18627,NA
15257,21095,"tumor"
5659,13271,"fat"
15509,20370,NA
14999,14568,NA
16012,18339,"necrosis"
9445,13703,NA
11716,13266,"tumor"
13988,13119,"necrosis"
21057,16013,"fibrous"
11720,17617,"tumor"
14496,17180,"fibrous"
9197,18490,NA
10205,16748,NA
19540,12533,NA
8186,17040,NA
12469,8478,NA
14238,10362,"necrosis"
16005,10796,"fibrous"
7431,19507,"fibrous"
7927,9643,"immune"
11217,19358,NA
9703,19360,"fat"
13479,8768,NA
20802,12387,"fibrous"
9194,15009,NA
6923,15446,"tumor"
11716,12976,"tumor"
11206,7174,"immune"
15502,12537,"tumor"
20048,16304,"tumor"
19537,8762,"fibrous"
12226,19067,NA
17265,8329,"immune"
17776,16161,NA
7679,14140,"tumor"
13736,13264,NA
7429,17186,NA
19540,13114,"necrosis"
13738,15875,NA
13480,9638,"tumor"
14495,16309,"tumor"
19285,9197,"fibrous"
15508,19790,NA
20296,11227,"tumor"
10705,10946,"fibrous"
18781,10068,"fibrous"
16014,21240,"tumor"
18535,17756,"fibrous"
7178,18202,"tumor"
20046,13984,"tumor"
15750,8040,NA
18029,16306,NA
14747,15874,"tumor"
10209,20810,"fat"
19794,14709,NA
12219,10944,"tumor"
6921,13705,NA
8188,18491,"tumor"
12473,12250,NA
17519,11085,"tumor"
12723,10364,"necrosis"
14746,14133,"fibrous"
19033,10213,NA
10206,17329,NA
12976,10218,"necrosis"
11217,18778,NA
18285,19932,NA
16257,10361,NA
14747,15584,"tumor"
10704,10075,NA
10461,20375,NA
8936,9062,NA
18032,19787,NA
11469,18343,NA
13227,8623,"fibrous"
12474,13410,"tumor"
6672,16752,NA
17013,8764,"immune"
10964,18633,NA
18782,11229,"necrosis"
11460,8769,"fibrous"
10455,14282,NA
11975,20083,"tumor"
14243,15874,NA
12222,14716,NA
9451,19795,"fat"
16516,18338,NA
12732,20227,NA
18280,15291,"tumor"
19544,16885,"fibrous"
7176,16751,NA
12980,15150,NA
12219,10654,NA
17018,14857,NA
10204,15008,NA
10208,19649,NA
17021,18628,"fibrous"
12475,15151,NA
19541,13694,"necrosis"
17275,20223,NA
11213,14717,"tumor"
6416,13125,NA
16765,14132,NA
12729,17036,NA
19791,10938,NA
19544,17465,"fibrous"
19290,15000,NA
19543,16015,"tumor"
13732,8912,NA
7675,9498,"tumor"
9702,19070,"fat"
6922,14285,NA
16256,8910,NA
18786,16451,"fibrous"
9193,14138,NA
16508,8475,NA
8436,13704,NA
10960,13702,"immune"
9450,19505,"fat"
9699,15008,NA
19032,9053,"fibrous"
13991,16890,"tumor"
8182,12399,NA
17770,8909,"immune"
9199,20231,"fat"
9704,21100,"fat"
14488,7606,"fat"
15756,15003,"tumor"
11718,15297,NA
18022,8183,"immune"
11717,14136,"tumor"
7175,15591,NA
15256,19645,"necrosis"
19286,10938,"necrosis"
17269,13551,NA
8437,15154,"tumor"
15502,12827,"tumor"
9199,20521,"fat"
11470,19793,NA
7422,8773,NA
11711,7464,"immune"
16262,16163,"fibrous"
7425,12254,NA
17271,15292,"fibrous"
8943,16314,"tumor"
13736,14134,NA
19789,9197,NA
19545,18626,NA
11460,8479,"fibrous"
7683,18201,"tumor"
16004,10216,NA
17019,16017,NA
10959,12831,"tumor"
16264,17903,NA
16506,7024,"fibrous"
16007,13117,NA
15751,8911,"fibrous"
7934,16896,NA
12983,18051,NA
8683,8337,"fibrous"
14750,19065,"necrosis"
17269,13261,NA
13234,17326,NA
14742,9492,"fibrous"
14496,16599,NA
14244,17905,NA
10965,19214,NA
15254,17904,"necrosis"
21053,11372,NA
8685,9787,"tumor"
9448,17184,NA
14242,15294,"tumor"
17526,18047,NA
15755,13552,"fibrous"
9192,13268,NA
9190,10077,"tumor"
6417,14286,"immune"
11463,11670,"tumor"
7677,12109,NA
9195,16459,"tumor"
11722,19938,NA
19039,17176,"fibrous"
14487,6736,"fibrous"
18534,16306,"tumor"
17264,7749,"fibrous"
8433,10513,"tumor"
12726,13845,NA
16267,21095,NA
13482,11669,NA
15246,9201,"fibrous"
16511,11956,"fibrous"
20295,10067,NA
7174,13850,"tumor"
5911,13416,NA
13488,18631,NA
14489,8767,"fat"
14997,13118,"tumor"
19036,13404,"necrosis"
8939,12543,NA
16261,14712,NA
6161,10080,NA
9197,18780,NA
13234,16746,NA
8179,9207,"immune"
9446,14863,NA
16514,15727,"fibrous"
16263,17323,"tumor"
13992,17760,NA
14746,14423,"fibrous"
17270,14711,NA
18788,18771,NA
11711,7754,"immune"
11714,10945,"tumor"
19287,11518,"necrosis"
13740,18486,NA
6922,13995,NA
18779,8037,NA
10461,20955,"fat"
14997,12538,NA
10703,8625,NA
6923,15736,"immune"
12984,20082,NA
12469,8188,"immune"
9946,9641,"fibrous"
8178,8337,"fibrous"
11964,8479,NA
8184,15010,"tumor"
11211,12686,NA
8188,19071,"fibrous"
6920,12255,NA
14492,12828,"necrosis"
9192,12398,NA
18028,15436,NA
13982,6446,NA
19544,16595,NA
8436,14284,NA
11468,17763,NA
11963,7318,NA
20804,14708,"fibrous"
18527,9343,"immune"
7171,10949,"tumor"
20047,15144,"tumor"
19036,13984,"necrosis"
12222,13846,"tumor"
17517,8184,"immune"
10956,10220,"fibrous"
20298,13838,"tumor"
16765,13551,"fibrous"
12983,18342,NA
13482,11959,"tumor"
7426,13995,NA
12725,11814,NA
14245,18485,NA
18781,10358,NA
6924,17187,NA
10200,11236,NA
6414,11095,NA
14241,14424,"tumor"
19542,15144,NA
7430,18347,"tumor"
